,count,mean,std,min,25%,50%,75%,max,median
temperature_2m,43800.0,47.8629109589041,19.45369087595701,-14.4,32.1,47.3,64.5,94.1,47.3
relativehumidity_2m,43800.0,72.28874429223744,16.852286845689708,18.0,60.0,74.0,86.0,100.0,74.0
dewpoint_2m,43800.0,38.56930821917808,18.77210990052958,-17.1,24.3,38.1,54.7,76.3,38.1
windspeed_10m,43800.0,3.5911468036529675,1.6493183948967387,0.0,2.41,3.3,4.59,13.45,3.3
windspeed_100m,43800.0,6.284431050228311,2.6852157732637596,0.1,4.38,6.08,7.99,20.65,6.08
hd_10,43800.0,3.5541418669640414,1.6819958205740528,0.017453293,2.303834613,3.926990817,4.834562028,6.283185307,3.926990817
hd_100,43800.0,3.5490166558149996,1.7097219434840079,0.0,2.268928028,3.94444411,4.852015321,6.283185307,3.94444411
windgusts_10m,43800.0,7.771794520547945,3.5691471992249766,0.5,5.0,7.2,10.0,29.2,7.2
